,claim,claim_veracity
55,I am bored staying home. Since I am very unlikely to get severely ill even if I was to get COVID-19 why is it important that I follow the guidelines to prevent transmission such as keeping physical distance from other people?,1
56,Some of my friends are not sticking to the rules about physical distancing. What should I do?,1
57,I am feeling really anxious about COVID-19 and its impact on my life. What should I do?,1
58,When will this pandemic end so I can go back to school and meet up with my friends?,1
59,Schools are reopening in some areas of my country. Is it safe to go back to school?,1
60,I know there is a risk of getting COVID-19 at the moment but I feel fine. Can I still play sports?,1
61,I am missing out on my education because of the COVID-19 pandemic. What should I do?,1
62,COVID-19 is everywhere in the news and I am finding it difficult to know what is true and what is false. What should I do?,1
63,Is it safe to have sex at this time?,1
64,In the lockdown I am spending much more time online playing games socialising and studying. Should I be worried about this?,1
65,I heard I can be hurt by online contacts. What are my risks and how I can protect myself online.,1
66,Since my parents stopped going out to work they have been arguing with each other much more and in some instances I have seen one parent harm or hurt the other either verbally or physically. I dont feel safe at home. What should I do?,1
67,I dont like the way someone touches me at home and we are both at home all the time because of the pandemic. What should I do?,1
68,Can COVID-19 be passed through breastfeeding?,1
69,In communities where COVID-19 is prevalent should mothers breastfeed?,1
70,Following delivery should a baby still be immediately placed skin-to-skin and breastfed if the mother is confirmed or suspected to have COVID-19?,1
71,Can women with confirmed or suspected COVID-19 breastfeed?,1
72,If a mother confirmed or suspected to have COVID-19 does not have a medical face mask should she still breastfeed?,1
73,I have confirmed or suspected COVID-19 and am too unwell to breastfeed my baby directly. What can I do?,1
74,I had confirmed or suspected COVID-19 and was unable to breastfeed when can I start to breastfeed again?,1
75,I have confirmed or suspected COVID-19 is it safer to give my baby infant formula milk?,1
76,Why are self-care interventions important during a pandemic like COVID-19?,1
77,Do I need to see a health worker for self care actions?,1
78,What self care actions can I take to protect my sexual and reproductive health?,1
79,How can I get healthcare support during the COVID-19 pandemic for a self-care intervention?,1
80,How should imported foods from countries with high prevalence of COVID-19 be treated?,1
81,Do food inspectors need to wear any protective equipment?,1
82,What do food inspectors need to consider when reopening a food business when the pandemic is over?,1
83,What are the lab protocols for identifying the virus in food? On surfaces?,1
84,Is quarantine necessary for live animals imported from countries experiencing a large numbers of COVID-19 cases?,1
85,How do we ensure the food supply chain remains intact to prevent food shortages?,1
86,How can food businesses remain safe from virus contamination?,1
87,Should grocery store workers wear gloves? Masks?,1
88,What is the protocol when an employee working in a food business becomes ill with COVID-19?,1
89,When can an employee return to work following illness? Are temperature checks appropriate?,1
90,What specific precautions do food workers need to take?,1
91,How should employees maintain safe distance from one another during food production and processing?,1
92,How should baked goods and fresh produce be displayed in a food market/grocery store?,1
93,How should shopping trolleys or carts be disinfected?,1
94,What is the most appropriate sanitizer to use on surfaces in a food production environment?,1
95,Could the virus be transmitted from humans to food animals or vice versa?,1
96,What is known about various conditions affecting survivability of the virus?,1
97,What measures should be taken to ensure safe transport of food during this pandemic?,1
98,What measures should be taken to ensure safe water is used in food production during this pandemic?,1
99,How should food premises be cleaned/disinfected during this pandemic?,1
100,Can I get COVID-19 from food?,1
101,Can the virus live on the surface of foods (including fruits and vegetables frozen foods pre-packaged foods)?,1
102,How to wash fruits and vegetables? Just with water or something else?,1
103,Can the virus live on the surface of food packaging? How long? Is it necessary to disinfect?,1
104,How long is it to cook food? To what temperature to kill the virus?,1
105,What precautions should consumers take in grocery stores?,1
106,Is food/grocery delivery safe?,1
107,What is the best household disinfectant for surfaces?,1
108,Is it still safe to go to food markets? Animal markets? Wet markets?,1
109,As a smoker is my risk of getting the COVID-19 virus higher than that of a non-smoker?,1
110,As a smoker am I likely to get more severe symptoms if infected?,1
111,As a vaper am I more likely to be infected or to have more severe symptoms if infected?,1
112,What about using smokeless tobacco like chewing tobacco?,1
113,What does WHO recommend for tobacco users?,1
114,What can I do to protect people from the risks associated with smoking smokeless tobacco use and vaping?,1
115,Does nicotine use affect my chances in the context of COVID-19?,1
116,Can COVID-19 be transmitted at the workplace?,1
117,What is the risk of contracting COVID-19 in the workplace?,1
118,How can people assess the risk for exposure to COVID-19 in their workplace and plan for preventive measures?,1
119,Who should carry out the workplace risk assessment?,1
120,What are the key considerations for the workplace risk assessment?,1
121,How should employers decide when to open close or re-open workplaces and/or suspend or downscale work activities?,1
122,What key measures to protect against COVID-19 should be undertaken in ALL workplaces?,1
123,What additional measures should be taken at workplaces and for jobs at medium risk?,1
124,What additional measures should be taken at workplaces and for jobs at high risk?,1
125,What should be taken into consideration when setting a physical distance at the workplace?,1
126,What are the rights duties and responsibilities of employers?,1
127,What are the rights duties and responsibilities of workers?,1
128,How can workplaces plan for the prevention and mitigation of COVID-19?,1
129,Can the return to the workplace be immediate after public measures are lifted?,1
130,Does WHO recommend thermal testing of people entering a workplace?,1
131,Does WHO recommend workers wear masks at the workplace (office or others)? If yes what type of masks?,1
132,Are there any directives on office ventilation and air conditioning use?,1
133,What mental health and psychosocial support should be provided to workers during COVID-19?,1
134,What is dexamethasone and does it work against COVID-19?,1
135,Were all patients in RECOVERY given dexamethasone?,1
136,Does WHO recommend the use of dexamethasone for COVID-19 patients?,1
137,Is dexamethasone on the WHO Essential Medicines List?,1
138,Is dexamethasone prequalified by WHO?,1
139,What dose was used in the Recovery trial?,1
140,What are the typical side effects of dexamethasone?,1
141,How do the doses used in the RECOVERY trial compare with those used normally?,1
142,Can steroids be used in the elderly/children/pregnancy?,1
143,Is dexamethasone available across the world?,1
144,How many API suppliers are there?,1
145,Is dexamethasone affordable/what is the price per treatment?,1
146,Why was the use of hydroxychloroquine stopped in the Solidarity Trial?,1
147,What will happen to the people who were already enrolled in the hydroxychloroquine arm of the trial?,1
148,What is WHOs view of the use of hydroxychloroquine in pre or post-exposure prophylaxis?,1
149,How many malaria-affected countries have reported cases of COVID-19?,1
150,Should core malaria vector control interventions be maintained in view of the rapid global spread of COVID-19?,1
151,Should WHO-recommended preventive therapies be maintained in sub-Saharan Africa?,1
152,Are there any changes to WHO guidance with respect to malaria diagnosis and treatment?,1
153,What additional special measures may be needed in the context of COVID-19?,1
154,What are the key considerations for countries that are working to eliminate malaria or prevent re-establishment of transmission?,1
155,Why is WHO particularly concerned about the spread of COVID-19 in malaria-affected areas?,1
156,Have there been disruptions in the global supply of key malaria-related commodities as a result of the COVID-19 pandemic?,1
157,What is WHOs position on the use of chloroquine and hydroxychloroquine in the context of the COVID-19 response?,1
158,What is WHOs position on the use of Artemisia plant material for the prevention or treatment of malaria and/or COVID-19?,1
159,What is WHO doing to support malaria-affected countries in the context of COVID-19?,1
160,Are people with tuberculosis likely to be at increased risk of COVID-19 infection illness and death?,1
161,Do COVID-19 and tuberculosis spread in the same way?,1
162,What is the potential impact of COVID-19 pandemic on essential tuberculosis services?,1
163,What should health authorities do to provide sustainability of essential tuberculosis services during the COVID-19 pandemic?,1
164,How can health authorities ensure supplies of tuberculosis medicines and diagnostics?,1
165,What services can be leveraged across both diseases?,1
166,What measures should be in place to protect staff working in tuberculosis laboratories and healthcare facilities and community health workers from COVID-19 infection?,1
167,How can we protect people seeking tuberculosis care during the COVID-19 pandemic?,1
168,Can tuberculosis and COVID-19 be tested on the same type of specimen?,1
169,Should all people being evaluated for tuberculosis also be tested for COVID-19 and vice-versa?,1
170,Is tuberculosis treatment different in people who have both TB and COVID-19?,1
171,Does the BCG vaccine protect people from COVID-19?,1
172,Should children wear a mask?,1
173,Are there situations where children aged 5 years and under may wear or be required to wear a mask?,1
174,Should children with developmental disabilities wear masks?,1
175,Should children who have health issues or a medical condition that compromises their immune system wear a mask?,1
176,What type of mask should children wear?,1
177,How should children wear a mask?,1
178,Should a child wear a mask at home?,1
179,Should teachers or other adults working with children wear a mask?,1
180,Should children wear a mask when playing sports or doing physical activities?,1
181,Are there alternatives to fabric masks such as face shields?,1
182,What is contact tracing?,1
183,How does contact tracing work?,1
184,Who is defined as a contact?,1
185,Can contact tracing help in controlling spread of the virus?,1
186,When should contact tracing be implemented?,1
187,What happens if you are a contact?,1
188,Who is needed for successful contact tracing?,1
189,What are the tools used for contact tracing?,1
190,What should be considered for data protection?,1
191,"Can I get COVID-19 from eating fresh foods, like fruits and vegetables?",1
192,How should I wash fruits and vegetables in the time of COVID-19?,1
193,Can the virus that causes COVID-19 live on the surface of food packaging?,1
194,"Can the virus that causes COVID-19 be transmitted through the consumption of cooked foods, including animal products?",1
195,Is it safe to go to grocery stores and other food markets?,1
196,Is it safe to have groceries delivered?,1
197,What is the best household disinfectant for surfaces?,1
198,What foods should be consumed to support the immune system?,1
199,Can micronutrient (vitamin and mineral) supplements prevent COVID-19 in healthy individuals or cure it in those with COVID-19 disease?,1
200,Are vitamin D supplements needed if individuals are not exposed to sunlight due to lockdowns?,1
201,Are there any herbal teas or herbal supplements that may help prevent or cure COVID-19?,1
202,Can probiotics help prevent COVID-19?,1
203,Can eating ginger help prevent COVID-19?,1
204,Can eating garlic help prevent COVID-19?,1
205,Can adding pepper to your soup or other meals help prevent or cure COVID-19?,1
206,Can I get COVID-19 from food?,1
207,"Can the virus live on the surface of foods (including fruits and vegetables, frozen foods, pre-packaged foods)?",1
208,"How to wash fruits and vegetables? Just with water, or something else?",1
209,Can the virus live on the surface of food packaging? How long? Is it necessary to disinfect?,1
210,How long is it to cook food? To what temperature to kill the virus?,1
211,What precautions should consumers take in grocery stores?,1
212,Is food/grocery delivery safe?,1
213,What is the best household disinfectant for surfaces?,1
214,Is it still safe to go to food markets? Animal markets? Wet markets?,1
215,Can someone who has tested positive for COVID-19 be cared for at home?,1
216,What should be done to prevent other people in the house from becoming sick if a person with COVID-19 is being cared for at home?,1
217,How long should people with COVID-19 stay at home and in isolation?,1
218,When should a patient with COVID-19 be cared for at home?,1
219,What factors determine whether a COVID-19 patient can be cared for at home?,1
220,What additional factors should be taken into consideration when assessing the home setting to determine if it is safe for patients and families to remain at home?,1
221,What precautions should health workers take when providing care to patients in home settings?,1
222,Could pregnant women be cared for at home if they have COVID-19?,1
223,Can children be cared for at home if they have COVID-19?,1
224,How does COVID-19 spread between people?,1
225,When do infected people transmit the virus?,1
226,What is the difference between people who are asymptomatic or pre-symptomatic? Dont they both mean someone without symptoms?,1
227,Are there certain settings where COVID-19 can spread more easily?,1
228,How can I reduce my risk of getting COVID-19?,1
229,How many malaria-affected countries have reported cases of COVID-19?,1
230,Should core malaria vector control interventions be maintained in view of the rapid global spread of COVID-19?,1
231,Should WHO-recommended preventive therapies be maintained in sub-Saharan Africa?,1
232,Are there any changes to WHO guidance with respect to malaria diagnosis and treatment?,1
233,What additional special measures may be needed in the context of COVID-19?,1
234,What are the key considerations for countries that are working to eliminate malaria or prevent re-establishment of transmission?,1
235,Why is WHO particularly concerned about the spread of COVID-19 in malaria-affected areas?,1
236,Have there been disruptions in the global supply of key malaria-related commodities as a result of the COVID-19 pandemic?,1
237,What is WHOs position on the use of chloroquine and hydroxychloroquine in the context of the COVID-19 response?,1
238,What is WHOs position on the use of Artemisia plant material for the prevention or treatment of malaria and/or COVID-19?,1
239,What is WHO doing to support malaria-affected countries in the context of COVID-19?,1
240,"I am ATTENDING a small gathering or an event such as a wedding, a party or sports tournament. What precautions should I take to protect myself and others from getting infected with COVID-19?",1
241,"I am ORGANIZING a small gathering or an event such as a wedding, a party or sports tournament. What precautions should I take to prevent the spread of COVID-19 among guests?",1
242,What precautions should everyone take in a hotel or other accommodation establishment?,1
243,Are pools and water areas safe to use?,1
244,Are there precautions to take while eating in a restaurant?,1
245,Is it safe to use fans or air conditioning in an accommodation?,1
246,Can you get the virus from people who were in the room previous to you?,1
247,What should travelers do if they get sick while at an accommodation facility?,1
248,What precautions should I take during travel?,1
249,Who should not travel?,1
250,What is meant by essential travel?,1
251,"If I feel well but am in the high-risk category, should I travel?",1
252,How can ventilation reduce the risk of contracting COVID-19 in airplanes?,1
253,The travel company is asking me to wear a mask while traveling. Which kind of mask should I use?,1
254,Should I get an immunity certificate before travelling?,1
255,Could I be screened when I exit or arrive at my destination?,1
256,Should I use a digital contact tracing app while traveling?,1
257,Should I get a test before departure or upon arrival?,1
258,What happens if I have symptoms when arriving at my destination?,1
259,What should I do after arriving at my destination?,1
260,What should I do if I get sick while traveling?,1
261,What is ventilation?,1
262,What is WHO doing to address ventilation in the context of COVID-19?,1
263,Can I use air conditioning in the context of COVID-19?,1
264,Can fans be used safely in indoor spaces?,1
265,How can ventilation reduce the risk of contracting COVID-19 in airplanes?,1
266,What is WHO doing to address ventilation in the context of COVID-19?,1
267,What are the recommended air ventilation requirements for health facilities?,1
268,Can the use of air conditioning increase the risk of SARS-CoV-2 transmission in health facilities?,1
269,Can fans be used in health facilities?,1
270,What medical procedures are considered aerosol generating in health facilities?,1
271,What is ventilation?,1
272,What is WHO doing to address ventilation in the context of COVID-19?,1
273,What steps can be undertaken to improve the ventilation in indoor public spaces and buildings?,1
274,"Are there any recommendations for offices, schools and the accommodation sector regarding ventilation and air conditioning use?",1
275,What can staff do to stay safe while working at a hotel or other accommodation establishment?,1
276,Should staff wear a mask while working?,1
277,What should staff do if a guest becomes sick at an accommodation establishment?,1
278,What should staff do if they have symptoms?,1
279,Thermal scanners CANNOT detect COVID-19,1
280,Drinking alcohol does not protect you against COVID-19 and can be dangerous,1
281,Most people who get COVID-19 recover from it,1
282,"The prolonged use of medical masks* when properly worn, DOES NOT cause CO2 intoxication nor oxygen deficiency",1
283,"The coronavirus disease (COVID-19) is caused by a virus, NOT by bacteria",1
284,The likelihood of shoes spreading COVID-19 is very low,1
285,People should NOT wear masks while exercising ,1
286,Studies show hydroxychloroquine does not have clinical benefits in treating COVID-19 ,1
287,Vitamin and mineral supplements cannot cure COVID-19,1
288,Vitamin and mineral supplements cannot cure COVID-19,1
289,Are pregnant women at higher risk from COVID-19?,1
290,Im pregnant. How can I protect myself against COVID-19?,1
291,Should pregnant women be tested for COVID-19?,1
292,Can COVID-19 be passed from a woman to her unborn or newborn baby?,1
293,What care should be available during pregnancy and childbirth?,1
294,Do pregnant women with suspected or confirmed COVID-19 need to give birth by caesarean section?,1
295,Can I touch and hold my newborn baby if I have COVID-19?,1
296,Are children at lower risk of COVID-19 than adults?,1
297,What is the role of children in transmission?,1
298,"Should children with underlying health conditions (asthma, diabetes, obesity) return to school?",1
299,Should teachers and other staff with underlying health conditions return to school?,1
300,What is the incubation period for children?,1
301,What should be considered when deciding whether to re-open schools or keep them open?,1
302,What benefits would school re-opening provide?,1
303,What are the prevention and control measures to be prepared and put in place in schools?,1
304,Checklist for parents/caregivers and community members,1
305,Checklist for students and children,1
306,What are the risks during transportation to and from schools?,1
307,"Does WHO recommend staff and children to wear masks at school? And if yes, what type of masks?",1
308,Are there any specific recommendations on school ventilation and air conditioning use?,1
309,What should be monitored after re-opening of school?,1
310,"As safe and effective vaccines for COVID-19 are approved, who should be the first to receive them?",1
311,What is WHO doing to ensure that COVID-19 vaccines will be allocated fairly?,1
312,How is WHO helping countries prepare for COVID-19 vaccines?,1
313,How is the research and development process being accelerated without compromising safety?,1
314,What are human challenge studies? What is WHOs view on these studies?,1
315,Who should participate in clinical trials for COVID-19 vaccines?,1
316,How do I volunteer for a COVID-19 vaccine trial?,1
317,Is there a vaccine for COVID-19?,1
318,When will COVID-19 vaccines be ready for distribution?,1
319,"How likely is it that safe, effective vaccines for COVID-19 will be developed?",1
320,How quickly could COVID-19 vaccines stop the pandemic?,1
321,What types of COVID-19 vaccines are being developed? How would they work?,1
322,Will other vaccines help protect me from COVID-19?,1
323,Will COVID-19 vaccines provide long-term protection?,1
324,How large does a meeting or event need to be in order to be a mass gathering?,1
325,Does WHO recommend that all international mass gatherings be cancelled because of COVID-19?,1
326,What factors should organizers and health authorities look at when assessing whether the risks are acceptable or not?,1
327,What if my organization does not have the expertise to assess the risks COVID-19 poses for our planned mass gathering?,1
328,"If we go ahead with an international mass gathering, what can we do to reduce the risk of participants catching COVID-19?",1
329,Where can I find more advice on assessing and managing health risks around international mass gatherings?,1
330,What should be the criteria for excluding an athlete or other accredited participant from competing?,1
331,Should event organizers arrange screening at venues beyond national government requirements for point of entry (PoE)?,1
332,Should event organizers provide COVID-19 testing?,1
333,Are there additional safeguards event organizers can implement or recommend to athletes/officials/visitors in the context of COVID-19?,1
334,What are the risks arising from public transport to the venue(s)?,1
335,What is a coronavirus?,1
336,What is COVID-19?,1
337,What are the symptoms of COVID-19?,1
338,How does COVID-19 spread?,1
339,Can the virus that causes COVID-19 be transmitted through the air?,1
340,Can CoVID-19 be caught from a person who has no symptoms?,1
341,Can I catch COVID-19 from the feces of someone with the disease?,1
342,What can I do to protect myself and prevent the spread of disease?,1
343,How likely am I to catch COVID-19?,1
344,Should I worry about COVID-19?,1
345,Who is at risk of developing severe illness?,1
346,Are antibiotics effective in preventing or treating the COVID-19?,1
347,Are there any medicines or therapies that can prevent or cure COVID-19?,1
348,"Is there a vaccine, drug or treatment for COVID-19?",1
349,Is COVID-19 the same as SARS?,1
350,Should I wear a mask to protect myself?,1
351,"How to put on, use, take off and dispose of a mask?",1
352,How long is the incubation period for COVID-19?,1
353,Can humans become infected with the COVID-19 from an animal source?,1
354,Can I catch COVID-19 from my pet?,1
355,How long does the virus survive on surfaces?,1
356,Is it safe to receive a package from any area where COVID-19 has been reported?,1
357,Is there anything I should not do?,1
358,Is the source of the coronavirus causing COVID-19 known?,1
359,How did the first human SARS-CoV-2 infections occur?,1
360,Can COVID-19 be spread through coins and banknotes?,1
361,How can I grocery shop safely in the time of COVID-19?,1
362,How to wash fruits and vegetables in the time of COVID-19?,1
363,Is COVID-19 airborne?,1
364,Is contraception/ family planning safe to use during the COVID-19 pandemic?,1
365,I want to avoid getting pregnant during the COVID-19 pandemic. What can I do?,1
366,I cant access my contraceptive method of choice. What do you advise?,1
367,What is the best contraceptive method to use during the COVID-19 pandemic?,1
368,I want to change my contraceptive method  is this possible?,1
369,I want to remove or replace my implant or IUD  can I do this during COVID-19 pandemic?,1
370,"Why is providing contraception/ family planning, as well as family planning services and information, important during the COVID-19 pandemic?",1
371,I am a policy maker. What can I do to make sure people can access contraception and family planning information and services?,1
372,I am a programme manager. What can I do to help people access contraception and family planning information and services?,1
373,"How can you clean soiled bedding, towels and linens from patients with COVID-19?",1
374,"What are the recommendation regarding disinfection of vehicles, goods and products coming from China or other COVID-19 affected countries?",1
375,What personal protective equipment (PPE) should be used by healthcare workers (HCW) performing nasopharyngeal (NP) or oropharyngeal (OP) swabs on patients with suspected or confirmed COVID-19?,1
376,Should blood centers routinely screen blood products for COVID-19 virus?,1
377,"Are boots, impermeable aprons, or coverall suits required as routine personal protective equipment (PE) for healthcare workers (HCW) caring for patients with suspected or confirmed 2019-nCoV infection?",1
378,Can disposable medical face masks be sterilized and reused?,1
379,Why does WHO recommend contact and droplet precautions and not routine use of airborne precautions for healthcare workers providing care to patients with suspected/confirmed 2019-nCoV infection?,1
380,Does WHO recommend routine wearing masks for healthy people during the 2019 nCoV outbreak?,1
381,Can patients with suspected and confirmed nCoV infection be cohorted in the same room?,1
382,Do patients with suspected or confirmed 2019-nCoV need to be hospitalized if they have mild illness?,1
383,Are specialized or referral hospitals required for patients with suspected or confirmed 2019-nCoV infection when hospitalization is needed?,1
384,What are the disinfectants recommended for environmental cleaning in healthcare facilities or homes housing patients with suspected or confirmed 2019-nCoV infection?,1
385,How long the 2019-nCoV can survive on a dry surface?,1
386,Is there a special procedure regarding waste produced by patients with suspected or confirmed 2019-nCoV?,1
387,Are there special procedures for the management of bodies of persons who have died from 2019-nCoV?,1
388,Is there a model for setting up an isolation ward and types and products and health requirements?,1
389,Can chlorine solutions also be used?,1
390,What is physical activity?,1
391,Why do we need it?,1
392,How much physical activity is recommended?,1
393,So how do I stay safe while exercising in COVID-19?,1
394,How do I stay active in and around the home?,1
395,How many malaria-affected countries have reported cases of COVID-19?,1
396,Should core malaria vector control interventions be maintained in view of the rapid global spread of COVID-19?,1
397,Should WHO-recommended preventive therapies be maintained in sub-Saharan Africa?,1
398,Are there any changes to WHO guidance with respect to malaria diagnosis and treatment?,1
399,What additional special measures may be needed in the context of COVID-19?,1
400,Why is WHO particularly concerned about the spread of COVID-19 in malaria-affected areas?,1
401,What are the key considerations for countries that are working to eliminate malaria or prevent re-establishment of transmission?,1
402,Have there been disruptions in the global supply of key malaria-related commodities as a result of the COVID-19 pandemic?,1
403,What is WHO doing to support malaria-affected countries in the context of COVID-19?,1
404,What is WHOs position on the use of chloroquine and hydroxychloroquine in the context of the COVID-19 response?,1
405,Are people living with HIV at increased risk of being infected with the virus that causes COVID-19?,1
406,Can antiretrovirals be used to treat COVID-19?,1
407,Can antiretrovirals be used to prevent COVID-19 infection?,1
408,What studies on treatment and prevention of COVID-19 with antiretrovirals are being planned?,1
409,What is WHOs position on the use of antiretrovirals for the treatment of COVID-19?,1
410,What is WHOs position on use of corticosteroids for the treatment of COVID-19?,1
411,"If countries use antiretrovirals for COVID-19, are there concerns about treatment shortages for people living with HIV?",1
412,How do we ensure human rights and reduce stigma and discrimination?,1
413,How can programmes assure continued access to HIV services?,1
414,What is the role multi-month prescriptions and dispensing for antiretrovirals and other medicines?,1
415,Can pregnant or postpartum women living with HIV transmit the COVID-19 virus to their unborn child or infant?,1
416,Should pregnant and breastfeeding women living with HIV with COVID-19 and their newborns be managed differently?,1
417,Are pregnant women at higher risk from COVID-19?,1
418,Im pregnant. How can I protect myself against COVID-19?,1
419,Should pregnant women be tested for COVID-19?,1
420,Can COVID-19 be passed from a woman to her unborn or newborn baby?,1
421,What care should be available during pregnancy and childbirth?,1
422,Do pregnant women with suspected or confirmed COVID-19 need to give birth by caesarean section?,1
423,Can women with COVID-19 breastfeed?,1
424,Can I touch and hold my newborn baby if I have COVID-19?,1
425,I have COVID-19 and am too unwell to breastfeed my baby directly. What can I do?,1
426,How are COVID-19 and influenza viruses similar?,1
427,How are COVID-19 and influenza viruses different?,1
428,What medical interventions are available for COVID-19 and influenza viruses?,1
429,How should I wash fruit and vegetables in the time of #COVID19?,1
430,How can I grocery shop safely in the time of #COVID19?,1
431,Can #COVID19 be spread through coins and banknotes?,1
432,What can I do to protect myself from #coronavirus?,1
433,Could #ibuprofen worsen disease for people with #COVID19?,1
434,Is wearing rubber gloves while out in the public effective in preventing the new coronavirus infection?,1
435,How should I greet another person to avoid catching the new #coronavirus?,1
436,Should I avoid shaking hands because of the new #coronavirus?,1
437,How are #COVID19 & influenza viruses different?,1
438,How are #COVID19 & influenza viruses similar?,1
439,What can I do to protect myself from #COVID19?,1
440,Should I wear a #mask to protect myself from #2019nCoV?,1
441,How long does #2019nCoV survive on surfaces? ,1
442,Can #2019nCoV be caught from a person who presents no symptoms? ,1
443,Can the #2019nCoV be transmitted from person to person?,1
444,How does #2019nCoV spread? ,1
445,Who is at risk of developing severe symptoms from #2019nCoV? ,1
446,Who can catch the #2019nCoV? ,1
447,How dangerous is the #2019nCoV? ,1
448,Can regularly rinsing your nose with saline solution help prevent infection with #2019nCoV?,1
449,Can gargling mouthwash protect you from infection with the #2019nCoV?,1
450,Can eating garlic help prevent infection with #2019nCoV?,1
451,Is it safe to receive a letter or a package from China?,1
452,Do vaccines against pneumonia protect you against #2019nCoV?,1
453,How are people appointed to the expert advisory panel of the International Health Regulations Emergency Committee?,1
454,How are the members of an International Health Regulations Emergency Committee chosen?,1
455,Who are the members and advisers of the International Health Regulations Emergency Committee on the new #coronavirus (2019-nCoV)?,1
456,Who are the members of an International Health Regulations Emergency Committee?,1
457,How does the International Health Regulations Emergency Committee work?,1
458,What are the International Health Regulations?,1
459,Are there any specific medicines to prevent or treat the new #coronavirus (2019-nCoV)?,1
460,Can pets at home spread the new #coronavirus (2019-nCoV)?,1
461,"Does the new #coronavirus (2019-nC0V) affect older people, or are younger people also susceptible?",1
462,Are antibiotics effective in preventing and treating the new #coronavirus (2019-nCoV)?,1
463,Is there a treatment for a novel #coronavirus infection?,1
464,What are the symptoms of #coronavirus infection?,1
465,What is a novel #coronavirus?,1
466,What is a #coronavirus?,1
467,There are currently no drugs licensed for the treatment or prevention of COVID-19,1
468,Adding pepper to your soup or other meals DOES NOT prevent or cure COVID-19,1
469,COVID-19 IS NOT transmitted through houseflies,1
470,Spraying and introducing bleach or another disinfectant into your body WILL NOT protect you against COVID-19 and can be dangerous,1
471,"Drinking methanol, ethanol or bleach DOES NOT prevent or cure COVID-19 and can be extremely dangerous",1
472,5G mobile networks DO NOT spread COVID-19,1
473,Exposing yourself to the sun or to temperatures higher than 25C degrees DOES NOT prevent the coronavirus disease (COVID-19),1
474,You can recover from the coronavirus disease (COVID-19). Catching the new coronavirus DOES NOT mean you will have it for life.,1
475,Being able to hold your breath for 10 seconds or more without coughing or feeling discomfort DOES NOT mean you are free from the coronavirus disease (COVID-19) or any other lung disease.,1
