,claim,claim_veracity
196,Indonesian minister to meet Suu Kyi amid protests over Rohingya,1
197,Turkey expects EU to provide total 6 billion euros under migrant deal by end-2018: minister,1
198, Trump Loses Track Of His Rant Mid-Meltdown Just As Questions Over His Mental Health Resurface,0
199,U.S. Congress to seek new tax incentives for Puerto Rico rebuilding,1
200,Guatemala Supreme Court will not probe president's salary bonus,1
201,Cameroon Anglophone protests reignite with separatist tinge,1
202,Hariri's party condemns attacks against Saudi Arabia: statement,1
203,DHS SECRETARY GETS HAMMERED With “Where’s Obama” Questions…You Won’t Believe His Excuse!,0
204," Secret Documents Reveal Connection Between Planned Parenthood Terrorist, Anti-Abortion Movement",0
205,Kuwait's Emir in hospital for medical checks after cold: agency,1
206,DR GORKA EXPOSES THE COMMIES: One Word Susan Rice Cronies Used Is A Warning To Americans ,0
207,Trump was wrong to retweet UK far-right group: British PM May's spokesman,1
208,Merkel: Strong result for Austria's FPO 'big challenge' for other parties,1
209, trump supporter sits in silent humiliation after being schooled by van jones on russia,0
210, Paul Ryan And Trump Go Head-To-Head As GOP Civil War Brews,0
211,"SHOUT POLL: Will Donald Trump hold his lead, or will he tank?",0
212,26 BASEMENT DWELLERS ARRESTED In Oregon Riots…Police Post Pictures Of Suspects…Ask For Help To Identify Pro-Hillary Rioters,0
213," Trump’s Sons Plug Father’s Presidency, Hotel Chain On Morning TV And It’s Perfectly Legal",0
214,Venezuela's former ambassador to U.N. leaves the United States: source,1
215,"Trump to sign executive actions on border security, immigration enforcement",1
216,LIST OF U.S. STATES With Most Illegal Aliens,0
217,Soyinka shreds U.S. greencard in anger over Trump victory,1
218,Putin says Russia will respond in kind if U.S. quits missile treaty,1
219,Debate stifled in Cambodia as crackdown spreads fear,1
220," New York Magazine Confirms: Trump LITERALLY Only Cares About One Thing, And It’s NOT Winning",0
221, Trump Sends Crazy-Time Tweet To The Wrong Account After Losing His Sh*t Over World Leader’s Remarks,0
222,"Militants attack east Congo bases, killing two U.N. peacekeepers",1
223, Fox Guests ATTACK Each Other After Someone Calls Hillary A ‘Bigot’ ,0
224, This North Carolina High School Just Made It So Trans Students Can Be Pepper Sprayed For Peeing,0
225,Peru opposition-ruled Congress approves Kuczynski's new cabinet,1
226,"Opposition says 150 civilians killed in Russian, Syrian raids on Idlib",1
227,MACY’S CELEBRATES AMERICA’S INDEPENDENCE BY PUTTING ILLEGAL ALIENS FIRST,0
228,Kremlin says Putin not influenced by ex-Trump official Flynn,1
229,House speaker Ryan to address Republican convention: Politico,1
230,South Carolina bill aims to limit transgender access to bathrooms,1
231,"Clinton leading among young voters, Harvard poll finds",1
232,THEIR EVIL KNOWS NO BOUNDS: TALIBAN EXECUTES 5 “SAVE THE CHILDREN WORKERS” AS ISIS KIDNAPS 120 SCHOOLCHILDREN TO BE TRAINED AS TERRORISTS,0
233,UPDATE ON 9/11 MEMORIAL Banned for “Triggering” College Snowflakes,0
234,Senate kills rule meant to protect family planning funds,1
235,COMEDY GOLD! Clinton Gaffe While Reading Off Of The Teleprompter Is Darn Funny ,0
236,Iran's armed forces say time to teach U.S. 'new lessons:' ISNA,1
237,"Russia says Lavrov-Tillerson meeting to discuss Syria, global security",1
238,Chicago sues Trump administration over sanctuary city plan,1
239,"Thai air safety upgrade opens up growing China, Korea, Japan markets",1
240, GOP Congressman Secretly Scrubbed This Embarrassing Info From His Wikipedia Page ,0
241,JAMES ‘MAD DOG’ MATTIS Is Asked What Keeps Him Up At Night…Gives Epic Answer! ,0
242,"Husband of far-right AfD co-leader to quit party, lawmaker says",1
243,Saudi Crown Prince calls Iran leader 'new Hitler': NYT,1
244,Trump defends tweets as key to White House victory,1
245,Twitter to brief Congress on possible Russia-backed ads: U.S. senator,1
246,Migrant deaths in the Sahara likely twice Mediterranean toll: U.N.,1
247,Romania expels pro-Russian Serb for photographing military radar,1
248,Trump vows federal intervention to quell Chicago gun violence,1
249,KATHY GRIFFIN Gets Very Bad News from CNN After ‘Trump Beheading’ Photo,0
250,CIA INSPECTOR: “Hillary endangered lives” FORMER JUDGE: Hillary Is A “Prime candidate for prosecution”,0
251,Pelosi re-elected to House Democratic leadership post,1
252, catalonia-spain crisis - what happens next?,1
253,Moscow hopes Syrian opposition will attend Russia-backed congress: Ifax,1
254,"Trump, Republicans to showcase tax cut for businesses",1
255,Iraqi PM says 'will not wait forever' to take action on border areas,1
256, Sarah Palin Removes Offensive Tweet After Being Humiliated For Whining About A Black Man Donating To Charity,0
257,"Lebanon's Hariri to arrive in France on Saturday, meet Macron: Elysee source",1
258,Kerry: video cut 'clumsy and stupid and inappropriate',1
259,Anti-nuclear campaign ICAN says Nobel Peace Prize a 'great honor',1
260, BUSTED: Fox News Worked With Trump To Circulate Fake News On Seth Rich Conspiracy Theory,0
261,Kasich campaign denies report of Romney endorsement,1
262,DEMOCRAT CLERK Claims Election “Not Rigged” But “Bungled Beyond Belief”,0
263,"Trump and Irish PM talk migration, Brexit in phone call",1
264,CASTRO DEMANDS THE RETURN OF “ILLEGALLY OCCUPIED” GITMO BEFORE RESTORING DIPLOMATIC RELATIONS,0
265,"European parliament not moving from Strasbourg, France says",1
266,House Speaker Ryan easily wins primary: media,1
267,U.S. Navy secretary says 'any patriot' should be able to serve,1
268,Egypt detains 29 people on suspicion of espionage for Turkey,1
269,2 MILLION HITS IN 2 DAYS: See Why Trump’s “USA Freedom Kids” Are A YUGE Viral Hit!,0
270,Britain's May says does not set 'red lines' for ministers' behavior,1
271, Trump Explodes At Smiling Protester: ‘I’d Like To Punch Him In The Face’ ,0
272," Republican Insiders Are Taking Aim At Trump, Calling On Pence To Drop Out",0
273,BREAKING: LA SHOOTER ADMITTED HE WAS OBAMA SUPPORTER…Media Still Attempts To Make Tea Party Connection,0
274, president obama dares republicans to support gun control to prove they care about cop safety,0
275,Trump supports NATO's collective defense clause: senior official,1
276, Michigan’s Republican Governor Just Won A Major Leadership Award,0
277,BMW will open Mexican factory in 2019 despite Trump: executive,1
278,Milwaukee County sheriff rescinds Homeland Security job: media,1
279, Joe Biden Just Said What Every  Woman Is Thinking About Donald Trump,0
280, Trump Demotes Career State Department Official After Breitbart Questions Her Loyalty To America,0
281,"Desperate for news, Rohingya refugees tune in to 'WhatsApp radio'",1
282,"Gaining momentum on Super Tuesday, Clinton takes aim at Trump",1
283,Sterling quarterback crop lead way into the playoffs,1
284,Stop-gap bill to avoid government shutdown fails Senate procedural vote,1
285,Exclusive: Mexican leftist has 11-point lead ahead of 2018 election - poll,1
286,VIOLENT PROTEST Outside Trump Rally In Pittsburgh As Cops Come Down On Black Lives Matter Thugs ,0
287," trump's government shutdown threat, looming debt ceiling",1
288,Russia accuses U.S. of trying to provoke North Korean leader 'to fly off handle',1
289,"Eighteen injured in west London incident, none seriously: UK ambulance service",1
290,"Clinton's 'girl power' push wins over women in their 30s, not 20s",1
291,ARRESTED: MUSLIM US ARMY VET Charged With Plotting Terror Attack In US On Behalf Of ISIS,0
292," Fox Host LOSES IT, Expertly Rips Trump’s ‘Buy American’ Policy APART ",0
293,South Korea deploys U.S. anti-missile launchers amid clashes with protesters,1
294, JetBlue Is Giving Orlando Victims And Their Families Free Flights,0
295,Norway to appoint first woman foreign minister: reports,1
296," I Let A Pit Bull Near My Baby, And This Is What Happened ",0
297,Sarah Palin says husband still in intensive care after accident,1
298,Pro-business parties try to hem German Greens in with red lines,1
299,Trump's exit from Pacific trade deal opens door for Germany: Gabriel,1
300,Kenya opposition leader Odinga says he will not share power,1
301,Paraguay Congress legalizes planting of medical marijuana,1
302,TRUMP: “Let Obamacare fail… I’m not going to own it.”,0
303, Oregon Right-Wing Terrorist Makes CHILLING Confession: ‘I Came Here To Die’ ,0
304, Bill Maher: It’s Time Hillary Clinton Becomes The Super VIllian The GOP Created ,0
305,Kremlin frets U.S. sanctions may hurt European projects like Nord Stream 2,1
306,SARAH SANDERS Has Hysterical Response To The News That CNN Staffers Are Boycotting The White House Christmas Party,0
307," Trump Humiliates Chris Christie To His Face: ‘I Hated To Do That, But I Had To Make My Point’ ",0
308,Trump calls storm over Russia hacking 'political witchhunt': NYT,1
309,Trump to take handful of executive actions on Day One: transition,1
310,THAT’S GONNA LEAVE A MARK…Anti-Trump Punks Attack CA Police…Get BIG Surprise When Cops Hit Back! ,0
311,Brexit progress needed by early December to unlock talks: EU's Tusk,1
312,South African police summon author of book critical of Zuma,1
313,Trump ban on transgender service members alarms some military officers,1
314,LOU DOBBS Says What We’re All Thinking: Trump has “unexpected patience” with fools”…”some in his own party” ,0
315, trump fumes in silence as irish prime minister shames him in front of reporters,0
316, NRA Terrorist Organization Remains Silent After Worst Mass Shooting In American History,0
317,FCC head silent on Trump comment about pulling broadcast licenses,1
318,Trump says reports Russia helped him in U.S. election are 'ridiculous',1
319,Trump vs. Clinton: Debate will mark biggest moment of election,1
320,Trump says debt ceiling 'mess' could have been avoided: Twitter,1
321,White House hopeful Trump nears end of vice presidential search,1
322,Lebanon's Jumblatt criticizes Saudi over Hariri,1
323,BREAKING: “DEPLORABALL” Organizer Mike Chernovich To File Charges With FBI Against Radical Anti-Trump Terrorists ,0
324,GREAT PHOTOS: Melania Trump Gets Rave Reviews For Stunning Style On Middle East Trip ,0
325,Turkey cautions citizens about travel to 'anti-Turkey' Germany,1
326,WATCH HILLARY CLINTON Go Full On Socialist…Your Hard Earned Money Isn’t Yours! ,0
327,Macron says not in French interests for German coalition talks to stall,1
328,PM Orban: Hungary will block any punitive EU action on Poland,1
329,COLLEGES MAY BE FORCED To Stop Pushing Qualified White Students To Back Of Line.. DOJ Will Take On Affirmative Action In College Admissions,0
330,U.S. hopes to see Chinese activist Liu treated for cancer 'elsewhere',1
331," Reviews Are In For Convicted Felon Dinesh D’Souza’s Anti-Hillary Film, And They’re HILARIOUS ",0
332,Japan says U.S. withdrawal from global climate pact 'regrettable',1
333,Philippines' Duterte takes aim at graft agency head for query on his wealth,1
334,Crucial details of Republican tax plan in flux as deal deadline looms,1
335,"“Trumpocalypse”: HACKED EMAIL EXPOSES DEMOCRAT PARTY PLAN To Spend Whopping $800,000 On Disruptions  At Republican Convention",0
336, Watch How Obama Shoots Down Trump’s ‘Rigged’ Election Conspiracy ,0
337,Obama's move on gender pay gap seen as first step in uphill battle,1
338, This Republican Just Gave The Most Honest Response EVER To A Letter From One Of His Constituents,0
339,PELOSI FEEDS LIES TO CBS ANCHORS: Claims That Comey has ‘Spoken Out’ on Trump’s Wiretap Claim,0
340,UK lawmakers back EU withdrawal bill at second reading,1
341,Israeli missiles hit military position near Damascus: Syrian state TV,1
342,Trump says he will accept election result - if he wins,1
343,Japan PM aims to strengthen U.S. alliance under President Trump,1
344,"Crime, casualties undermine U.S. gains on Afghan battlefield",1
345,TRUMP PRESS SECRETARY Calls Out CNN’S CAMEROTA For ‘Unbelievable’ Questions’: “I know it’s frustrating for you that we’re doing it in a logical way” ,0
346,Democratic fund-raising group for Congress candidates confirms hack,1
347, compare and contrast - trump's tweets vs private comments to ceos,1
348,U.S. Senate Republican leader delays Senate's August recess,1
349,"Britain's ruling Conservatives suspend lawmaker, refer his case to police",1
350,"U.S., Japan first ladies: both unconventional yet poles apart",1
351,"TUCKER CARLSON EXPOSES REFUGEE CONTRACTOR Who Got $43 Million From Feds…Gets $200,000 Salary!",0
352,Trump says he backs House speaker even if healthcare bill fails,1
353,Funding battle looms as Texas sees Harvey damage at up to $180 billion,1
354,U.S. citizen fighting for Islamic State surrenders in Syria: Pentagon,1
355, Here’s The Disgusting Propaganda The White House Plans To Use To Smear Sally Yates’ Russia Testimony ,0
356,Morocco's 'mule' women scratch a living on Spanish enclave border,1
357,president trump’s beautiful video honoring the life of rosa parks reminds everyone of disgusting way president obama made anniversary of parks’ brave act about him ,0
358,Longtime Trump advisor Scavino appointed his social media director,1
359," BUSTED: Trump Supporter Tries To Rig Election For The GOP, Gets ARRESTED",0
360, Mark Zuckerberg Masterfully Takes Donald Trump Down A Peg During Facebook Speech,0
361," This Major U.S. City Is Now So Polluted, People With Asthma Are Choking To Death ",0
362,Some members of Trump team can begin agency briefings: White House,1
363," Gawker Fools Trump Into Quoting Genocidal Maniac, Chuck Todd DESTROYS Him ",0
364,Mexican official widens tax-dodge complaint against Trump,1
365,"Arizona Governor Blocks 31,000 Low-Income Children From Access To Life Saving Healthcare",0
366, army vet wrecks trump – here’s the real reason he gave generals more control over bombing,0
367,BREAKING: MITT ROMNEY Speaks To Reporters Following Dinner With Trump ,0
368,FLASHBACK: Hillary And Raunchy Actress Discuss Desire To See Rock Star’s Penis: “I’ll look for that” ,0
369,NOT SHOCKING: COP’S ATTORNEYS CLAIM BALTIMORE PROSECUTORS HID FREDDIE GRAY’S History Of Intentionally Hurting Himself For Insurance Money,0
370,Kremlin says not in touch with Donald Trump's team: agencies,1
371,"Trump's CIA pick supports domestic surveillance, opposes Iran deal",1
372,POPE TAKES COMMUNIST CRUCIFIX GIFT HOME: Says He Was Not Offended By It ,0
373,Turkish army expands deployment in Syria's northwest: rebels,1
374, Trump Legally Declares His Inauguration A Historic Day,0
375,Trump says was being 'sarcastic' in Russia hack comments,1
376,Boys 'cried from barred windows' as Islamic school blaze kills 23 in Malaysia,1
377,"Gunmen seize building in Afghan capital, firing on security forces",1
378,Trump on Boeing's Air Force One contract: 'Cancel order!',1
379,“You’re Not Welcome!” Obama As Welcome At Roseberg Funerals As Westboro Baptist Church Members ,0
